"241","Normale","5, RUE DE CONSDORF (MAISON COMMUNALE)","08:30","93056.89230000041, 98514.4709995551","27"
"242","Normale","11, RUE DU CHATEAU","08:00","93769.31269999967, 83195.36069954753","28"
"243","Normale","RUE D'OLINGEN","08:00","92795.9765703704, 83657.1190884372","29"
"244","Normale","RUE FUERT","10:30","92013.9362333334, 77476.7712733554","30"
"245","Normale","BIGELBACH (FACADE MAISON N. 16)","08:30","88638.0730642858, 102857.228113841","31"
"246","Normale","82, HAAPTSTROOSS","09:00","94765.72360000017, 85641.46389954825","32"
"247","Normale","8, KIIRCHESTROOSS","09:30","94775.3143999996, 85726.51029954785","32"
"248","Normale","ROUTE DE DIEKIRCH (ARRET BUS)","08:00","93818.0053146341, 101647.146294677","33"
"249","Normale","DUERFSTROOSS","08:30","104832.820282759, 91712.9242340341","34"
"251","Normale","RUE DU CIMETIERE (MAISON SCHMIT)","11:00","83782.3046999999, 85458.7151870491","35"
"252","Normale","PLACE DE L'EGLISE (EGLISE)","10:00","91594.2953875001, 68996.4380120429","36"
"253","Normale","RUE D'ALTRIER","08:00","89603.9650000001, 93373.5709745522","37"
"254","Normale","11, BREINERT","08:00","92282.4477928572, 86421.6571316925","38"
"255","Normale","11, BROUCH (BIWER) (COTE MAISON 11)","08:00","70835.4867736041, 89267.3126074184","39"
"256","Normale","RUE JEAN HENGEN (MAISON COMMUNALE)","08:30","91115.6878799999, 61261.2988595395","40"
"257","Normale","4, RUE DE L'ECOLE","09:00","91328.99450000004, 75014.85009954427","41"
"258","Normale","RUE D'ALTRIER (MAISON 35)","08:00","89767.3384777777, 92755.2725106631","42"
"259","Normale","RUE DE LA MAIRIE (ADMINISTRATION COMMUNALE)","09:30","92338.1303785714, 93944.8329852664","43"
"260","Normale","RUE BUURGKAPP (CAMPING BURGKAPP)","09:30","92020.9282076923, 94014.926338014","43"
"261","Normale","96, ROUTE DE LUXEMBOURG (HOTEL DE LA GARE)","09:00","92454.11409999992, 93175.19789955096","43"
"262","Normale","22, ROUTE DE LUXEMBOURG","10:00","92126.40990000033, 93799.30709955178","43"
"263","Normale","RUE DE MOUTFORT (EGLISE)","10:00","84496.2882842106, 72438.6319521757","44"
"266","Normale","WAASSERKLAPP (CITE WAASSERKLAPP/ENDELSTROOSS)","11:00","86368.1577651163, 67851.6231367518","45"
"267","Normale","GEMENGEPLAZ (ADMINSTRATION COMMUNALE)","11:00","86541.9306158671, 67703.9917809078","45"
"268","Normale","34, KETTENGAASS","11:00","86429.60439999962, 67527.84559954274","45"
"269","Normale","9, RUE PRINCIPALE","10:00","101846.45380000028, 94367.45449955227","46"
"270","Normale","ROUTE DE REISDORF (ROUTE DE REISDORF)","08:30","90829.9892999999, 102156.829732888","47"
"271","Normale","9, RUE ANDRE DUCHSCHER (AUBERGE DE JEUNESSE)","12:00","98039.18900000023, 97593.5692995537","48"
"276","Normale","RUE DES BENEDICTINS (COIN RUE HOOVELEK (MORGENSTERN))","10:30","98181.7223856156, 97307.4080526314","48"
"286","Normale","1, RUE DE WORMELDANGE-HAUT (CITE LEHBOESCH)","11:30","96043.57280000018, 74505.13769954618","49"
"287","Normale","RUE ISIDORE COMES (EICHAMT)","11:00","95793.2918100001, 74149.187459545","49"
"288","Normale","ROUTE DU VIN","10:00","95485.74584, 73791.9653495446","49"
"289","Normale","289, ROUTE DE LUXEMBOURG","09:00","81123.9723541666, 84076.0600578817","50"
"290","Normale","RUE DE L'EGLISE (EGLISE)","09:00","89407.5989666665, 65119.381166208","51"
"291","Normale","RUE MARIE-JOSEE DENY (COIN RUE M-J DENY/RUE P. DIEDER.)","09:30","90737.0413, 62983.4250195408","52"
"292","Normale","RUE DE WINTRANGE (EGLISE)","10:00","90873.8253681817, 63296.8148449956","52"
"293","Normale","2, RUE D'ELVANGE","11:30","88870.24679999985, 61360.173799540535","53"
"294","Normale","RUE PRINCIPALE (MAISON LEESCH)","08:00","85700.4857515152, 82866.0381298512","54"
"295","Normale","RUE DE MONDORF (ANCIENNE ECOLE)","08:00","91450.1633859375, 67792.5572104799","55"
"296","Normale","7, RUE DU VILLAGE (MAISON SEFFER)","10:30","87694.49700000048, 71379.1672995453","56"
"297","Normale","RUE DE L'ECOLE (ECOLE)","08:30","90373.1954363638, 87078.3827177314","57"
"298","Normale","DRAIKANTONGSSTROOSS (PLACE PUBLIQUE)","12:30","85773.1039000001, 66626.458473455","58"
"299","Normale","2, RUE HEICHT","09:00","92569.66420000046, 81332.67179954822","59"
"301","Normale","42, DUERFSTROOSS","10:00","103766.71499999995, 93311.73869955228","60"
"302","Normale","GIRSTERKLAUS (CHAPELLE)","10:00","103790.1285875, 94555.3828370528","61"
"303","Normale","9, GIVENICH (MAISON 9)","08:30","102456.335347059, 90465.0360936689","62"
"304","Normale","RUE DU VILLAGE (ECOLE)","11:00","84587.8905326087, 88871.3548517242","63"
"306","Normale","RUE BUURG (EGLISE)","11:00","93268.256234375, 76463.2067182957","64"
"307","Normale","RUE DU RELAIS","10:30","93481.6385208334, 76051.1445162123","64"
"308","Normale","RUE DE BLUMENTHAL","09:00","88375.9551749999, 89530.6837120503","65"
"309","Normale","3, GEMENGEBRECK (DEPOT SAPEURS POMPIERS)","08:30","93722.87920000032, 72413.73349954447","66"
"310","Normale","24, GRAND-RUE (ADMINISTRATION COMMUNALE)","08:00","99748.92229999977, 82775.88099954772","67"
"311","Normale","1, SCHILTZENPLATZ (BUREAU DE POSTE)","17:30","99965.76480000002, 82784.37079954687","67"
"312","Normale","21, RUE DE MUENSCHECKER","09:00","99808.20010000006, 83378.90079954929","67"
"315","Normale","1, SCHAFFMILL","08:30","99703.91810000039, 82527.80209954934","67"
"316","Normale","11, RUE DES FOYERS (PIETERT)","09:00","99428.29059999998, 82503.97369954751","67"
"317","Normale","26, RUE DE LUXEMBOURG","08:00","99565.5099, 82824.93919954944","67"
"318","Normale","RUE VICTOR PROST","08:00","99883.8475799999, 82633.6927895482","67"
"319","Normale","ROUTE DE BEAUFORT","08:00","91618.9026, 99749.2924662218","68"
"320","Normale","8, HAGELSDORF","08:00","94098.2936166666, 84227.4197912152","69"
"321","Normale","RUE DU HALLERBACH","10:00","88315.8089083334, 98329.3645245539","70"
"322","Normale","6, RUE DE DALHEIM","09:30","82948.98519999998, 68353.57139954196","71"
"323","Normale","9, AM DUERF","08:00","91997.2134999996, 89484.3363995501","72"
"324","Normale","HAAPTSTROOSS","10:00","98690.3749916667, 90365.9645273285","73"
"325","Normale","10, HERSBERG","08:00","91521.89576, 91235.2491852655","74"
"326","Normale","1, RUE DE GIRSTERKLAUS","09:30","104896.98350000013, 94424.45579955373","75"
"327","Normale","102, RUE ANDETHANA","09:30","84653.09860000014, 80232.49549954705","76"
"328","Normale","6, RUE PRINCIPALE","09:30","58297.48410000003, 97186.55639955214","76"
"331","Normale","RUE RHAM (COIN RUE RHAM / RUE DE BOURGLINSTER)","09:30","85818.1452854839, 86415.0562818075","77"
"333","Normale","DITZEBIERG (ARRET CFL)","09:00","89875.1210500001, 91365.4284726283","78"
"334","Normale","RUE DE MERSCH (PLACE DE LA GARE)","08:30","83391.4520051547, 94555.3683593464","79"
"335","Normale","PLACE BLEECH (HOTEL DE LA POSTE)","08:30","83731.6932392857, 94334.7019316953","79"
"336","Normale","9, DUERFSTROOSS","09:00","99268.52290000023, 87349.5016995517","80"
"337","Normale","RUE DE CANACH (MAISON KOHL)","11:00","94294.452725, 74039.0417745447","81"
"338","Normale","2, RUE DE DIEKIRCH (ADMINISTRATION COMMUNALE)","08:30","76850.16199999956, 87368.25749955043","82"
"339","Normale","21, RUE DE L'EGLISE","09:00","77069.02379999963, 87373.11179954992","82"
"340","Normale","71, ROUTE DE FISCHBACH","10:00","77499.6497999998, 87505.24519955067","82"
"341","Normale","1, RUE DE BLASCHETTE (ADMINISTRATION COMMUNALE)","09:00","78086.4243000001, 85270.97799954865","83"
"342","Normale","RUE DE BLASCHETTE (COIN RUE DE LA VALLEE / BLASCHETTE)","10:00","78309.3791296296, 85330.0730162154","83"
"343","Normale","76, ROUTE DE LUXEMBOURG (BUREAU DE POSTE)","11:30","78014.64580000013, 84983.31219954888","83"
"345","Normale","12, SYRDALLSTROOSS","08:30","98483.82459999999, 85914.88029954923","84"
"347","Normale","2, RUE DE SAVELBORN","09:00","83411.20969999961, 97166.7766995534","85"
"348","Normale","50, RUE DE SAVELBORN","10:00","83600.74799999966, 97456.98989955314","85"
"349","Normale","RUE DE LA CHAPELLE","09:00","85713.6861124999, 71184.9762495438","86"
"350","Normale","19, RUE DE L'EGLISE","11:00","89701.62129999978, 80143.66099954756","87"
"351","Normale","17, RUE PRINCIPALE","11:00","89930.79310000033, 79930.11329954612","87"
"352","Normale","RUE DE LA GARE (GARE CFL)","08:00","75774.5058964286, 90846.0493852653","88"
"353","Normale","53, RUE GRANDE-DUCHESSE CHARLOTTE (CENTRE CULTUREL)","12:00","75397.88879999987, 90426.93579954922","88"
"355","Normale","RUE COMTE JEAN-FREDERIC D'AUTEL","10:00","75030.3990857143, 90169.4340595509","88"
"357","Normale","RUE NICOLAS WELTER","09:00","75044.6996409091, 89956.6191940963","88"
"359","Normale","UM MIERSCHERBIERG (TOPAZE)","08:00","75055.5796214286, 91687.124613837","88"
"360","Normale","7, RUE GRANDE-DUCHESSE CHARLOTTE (BUREAU DE POSTE)","16:00","75661.95629999974, 90622.59829955202","88"
"361","Normale","AM WANGERT","09:00","74964.2000076922, 91072.5501251922","88"
"362","Normale","CAMPING KROUNEBIERG (CAMPING (SAISON))","08:00","75236.2125943157, 90638.6018071798","88"
"363","Normale","PORT DE MERTERT","08:00","101796.905, 84672.2247217708","89"
"364","Normale","RUE DE MANTERNACH","08:00","102219.122225, 85614.6684602632","89"
"365","Normale","RUE HAUTE","10:00","102673.910617187, 85247.3678182989","89"
"366","Normale","AN DER OLEK","08:00","103989.914671429, 90037.0467519319","90"
"367","Normale","RUE D'ETTELBRUCK","09:00","76125.4056674418, 92712.271848389","91"
"368","Normale","UM BUER","09:00","101275.222066667, 90858.7127995519","92"
"369","Normale","22, AVENUE DES BAINS","10:00","88116.22900000028, 63115.92619954077","93"
"370","Normale","ROUTE DE REMICH (COIN RTE DE REMICH/AVENUE F. CL.)","09:30","88197.4765903225, 63519.2326947022","93"
"371","Normale","RUE DE LA RESISTANCE (COIN RUE RESISTANCE/ RUE FLAMM.)","09:00","88142.4160041667, 63998.6957870411","93"
"372","Normale","RUE JOHN GRUEN (COIN RUE DES BENEDICTINS/ J. GR.)","10:00","87688.8990574469, 63649.7357420941","93"
"374","Normale","MONTEE BELLE-VUE (RESIDENCE MONPLAISIR)","08:00","88845.4272500002, 63383.9908495408","93"
"376","Normale","1, ROUTE DE LUXEMBOURG","11:30","87426.22379999982, 63314.47679954065","93"
"377","Normale","8, AVENUE MARIE-ADELAIDE","08:00","88486.79299999957, 63390.37269954098","93"
"378","Normale","RUE D'OETRANGE (EGLISE)","11:30","86393.4593129032, 72793.3254350283","94"
"379","Normale","MILLBECH","12:00","85652.6870333333, 72450.9408128776","94"
"380","Normale","1, RUE DE L'AVENIR","09:00","77169.2428000002, 83044.41719954688","95"
"381","Normale","RUE DES ROCHERS (HOTEL DES CASCADES)","08:00","89997.9777750001, 95176.6766745522","96"
"382","Normale","202, RUE PRINCIPALE (ECOLE PRIMAIRE)","10:30","87215.30530000011, 77393.63499954599","97"
"383","Normale","RUE DU CHATEAU","09:30","86845.8289236364, 77466.927459546","97"
"385","Normale","1, ALE WEE","08:00","99702.4165294118, 85011.0072430783","98"
"386","Normale","23, RUE PRINCIPALE","08:30","85310.06249999999, 76442.78089954617","99"
"388","Normale","174, ROUTE DE TREVES","09:00","86332.09590000007, 79600.64869954702","100"
"389","Normale","RUE DES ROMAINS (ECOLE)","08:30","97033.8012276923, 77889.3730995464","101"
"390","Normale","OBERGLABACH (CHAPELLE)","11:00","78683.3528166666, 94509.2427578856","102"
"391","Normale","RUE NOMMERLAYEN (CAMPING)","11:00","80163.6993857145, 95133.2885566948","103"
"392","Normale","RUE PRINCIPALE (EGLISE)","10:00","80378.2760880952, 95625.3658281244","103"
"393","Normale","53A, RUE ANDETHANA","09:30","85255.55900000036, 80336.60929954742","104"
"394","Normale","77, RUE LAACH (PHARMACIE)","08:00","85861.49079999977, 80312.00379954568","100"
"395","Normale","RUE DE LA MOSELLE (COIN RUE DE LA MOSELLE/RUE DE L'EGLISE)","09:30","96720.5257967741, 79390.3167543854","105"
"397","Normale","RUE DE L'EGLISE (EGLISE)","08:00","86717.3517692308, 73830.0832610831","106"
"398","Normale","2, RUE DE ROODT-SUR-SYRE","08:30","90567.36099999957, 82810.44019954701","107"
"399","Normale","30, RUE PRINCIPALE (PLACE VILLAGE)","11:00","99591.4556999998, 94605.34289955266","108"
"400","Normale","RUE DU CHATEAU (CHATEAU)","08:30","75725.6084525, 92775.1297020518","109"
"401","Normale","POTASCHBERG","08:30","96481.2615636364, 82661.5067904569","67"
"402","Normale","1, RUE DE LA MONTAGNE","08:00","76510.61739999984, 86986.13919955009","110"
"403","Normale","58, RUE PRINCIPALE","10:00","84528.2216999997, 81129.02039954772","111"
"404","Normale","1, RUE PRINCIPALE","08:00","74130.8121999996, 90836.44159955141","112"
"406","Tardive","73, WAISTROOSS (MAISON COMMUNALE)","19:00","93256.71380000004, 61578.77619954051","113"
"407","Normale","PLACE NICO KLOPP (CENTRAL TELEPHONIQUE)","08:00","94024.4192875, 68023.195199543","114"
"408","Normale","RUE DE LA CITE (CITE BUSCHLAND)","11:00","95013.4482610169, 68634.6098554749","114"
"409","Normale","15, PLACE DU MARCHE","12:00","94459.00169999994, 67701.05859954117","114"
"411","Normale","RUE DE L'HOSPICE","10:00","94148.1595714286, 67539.0752923992","114"
"412","Normale","RUE DE LA GARE","08:00","94156.7512949152, 67898.9903859833","114"
"413","Normale","RUE WENKEL","09:00","94654.8963866666, 67939.4902462093","114"
"414","Normale","BEI DER KIIRCH (EGLISE)","10:00","86745.3450625, 90892.0210745514","115"
"415","Normale","AN DER GRUECHT (MAISON 6)","10:00","90755.6300444446, 89597.2408884392","116"
